strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/MT-CDC-LC0892130/2022	2022-09-21		2.85	North America	Montana	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202238	27.00	OP583247	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/OH-CDC-LC0900374/2022	2022-09-27		2.90	North America	Ohio	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202239	27.00	OP660080	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/LA-EVTL17247/2022	2022-09-01		2.85	North America	Louisiana	Older	USA	22B (Omicron)	BA.5.1.24	22B (Omicron)	BA.5.1.24		202235	27.00	OQ097111	Homo sapiens	LSUHS, Center for Emerging Viral Threats	Atkins et al			0.558	0.386	
USA/MA-CDCBI-CRSP_REMOSXHGZ7Y6CKVX/2022	2022-10-11		2.85	North America	Massachusetts	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.24		202241	28.00	OP684594	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.558	0.386	
USA/NMDOH-2022133245/2022	2022-09-16		2.86	North America	New Mexico	Older	USA	22B (Omicron)	BA.5.1.24	22B (Omicron)	BA.5.1.24		202237	27.00	OQ371679	Homo sapiens	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Malone et al		New Mexico Department of Health Scientific Laboratory	0.558	0.386	
USA/MO-CDC-QDX41496851/2022	2022-09-16		2.86	North America	Missouri	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.24		202237	27.00	OP569275	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/MT-CDC-LC0887716/2022	2022-09-15		2.85	North America	Montana	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.24		202237	27.00	OP544994	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/NV-CDC-QDX43330558/2022	2022-11-07		2.84	North America	Nevada	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202245	27.00	OQ288058	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/DE-CDC-QDX41999187/2022	2022-09-30		2.86	North America	Delaware	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.23		202239	27.00	OP621854	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/OK-USAFSAM-S21146/2022	2022-10-31		2.90	North America	Oklahoma	One month ago	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202244	27.00	OQ503432	Homo sapiens	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Gruner et al		TINKER AFB	0.558	0.386	
USA/SD-SDAIHG-1972/2022	2022-09-15		2.91	North America	South Dakota	Older	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202237	27.00	OP802454	Homo sapiens	South Dakota INBRE/Avera Institute for Human Genetics, SD-INBRE-AIHG	Davis et al			0.558	0.386	
USA/CT-CDC-2-6820479/2022	2022-11-10		2.67	North America	Connecticut	One month ago	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202245	27.00	OQ421287	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		CT-Dr. Katherine A. Kelley State Public Health Lab	0.558	0.386	
USA/AK-CDC-LC0942152/2022	2022-11-17		2.89	North America	Alaska	Older	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202246	27.00	OP968126	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/DC-CDC-2-6821966/2022	2022-11-27		3.10	North America	Washington DC	One month ago	USA	22B (Omicron)	DE.2	22B (Omicron)	DE.2		202248	30.00	OQ421330	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		DC Public Health Lab/ Dept. of Forensic Sciences	0.67	0.601	
USA/SC-CDC-LC0896063/2022	2022-09-26		2.91	North America	South Carolina	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5		202239	27.00	OP658540	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/2197440/2022	2022-10-16		2.91	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202242	27.00	OP820990	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		University of Iowa Hospitals and Clinics	0.558	0.386	
USA/22-024695-WGS-01/2022	2022-10-04		2.97	North America	Vermont	Older	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202240	28.00	OQ284367	Homo sapiens	University of Vermont, Bioinformatics Shared Resource	Dragon et al		Vermont Department of Health Lab	0.558	0.386	
USA/IL-CDC-LC0934334/2022	2022-11-08		2.97	North America	Illinois	Older	USA	22B (Omicron)	BA.5.1.23	22B (Omicron)	BA.5.1.23		202245	28.00	OP882987	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/AL-CDC-STM-5CQDKQGMG/2022	2022-09-01		2.92	North America	Alabama	Older	USA	22B (Omicron)	BA.5.1.3	22B (Omicron)	BA.5.1.3		202235	28.00	OP449274	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
USA/MI-CDC-QDX41328965/2022	2022-09-12		2.95	North America	Michigan	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202237	27.00	OP523660	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/WA-CDC-UW23010268379/2023	2023-01-02		2.88	North America	Washington	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202301	27.00	OQ204825	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		UW Virology Lab	0.558	0.386	
USA/IL-CDC-QDX41282757/2022	2022-09-11		2.85	North America	Illinois	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202237	27.00	OP514362	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/NH-CDC-LC0895283/2022	2022-09-20		2.87	North America	New Hampshire	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202238	27.00	OP656969	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/MD-CDC-QDX43116452/2022	2022-10-27		2.86	North America	Maryland	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202243	28.00	OP849281	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/DC-CDC-LC0928416/2022	2022-11-05		2.87	North America	Washington DC	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202244	27.00	OP828492	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/ND-CDC-2-6652269/2022	2022-11-08		2.86	North America	North Dakota	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202245	27.00	OQ075543	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		ND Dept. of Health Laboratory Services-Microbiology	0.558	0.386	
USA/VA-VTVAS3-GSC39700/2022	2022-10-21		2.87	North America	Virginia	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202242	27.00	OP838062	Homo sapiens	Fralin Biomedical Research Institute, VT-Molecular Diagnostics Laboratory	Finkielstein et al			0.558	0.386	
USA/M1012A6_538068/2022	2022-11-07		2.87	North America	Mississippi	Older	USA	22B (Omicron)	BA.5.1.33	22B (Omicron)	BA.5.1.33		202245	27.00	OP955812	Homo sapiens	University of Mississippi Medical Center, Molecular and Genomics Core	Sen et al			0.558	0.386	
USA/VI-CDC-2-6523630/2022	2022-09-13		2.88	North America	Virgin Islands	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.22		202237	27.00	OP679058	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		VI-US Virgin Islands Department of Health	0.558	0.386	
USA/GA-CDC-QDX41753452/2022	2022-09-22		2.90	North America	Georgia	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.22		202238	27.00	OP619625	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/OH-CDC-QDX44485813/2022	2022-12-07		2.88	North America	Ohio	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22		202249	28.00	OQ140521	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/GA-CDC-STM-HQBCEZ9P2/2023	2023-01-09		3.04	North America	Georgia	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22	0.00	202302	28.00	OQ285387	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	-16.69
USA/IN-CDC-LC0927172/2022	2022-11-02		3.04	North America	Indiana	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22		202244	28.00	OP827708	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/MN-CDC-QDX46230291/2023	2023-01-30		3.03	North America	Minnesota	One month ago	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22	0.00	202305	29.00	OQ444701	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	-16.69
USA/ND-USAFSAM-S20867/2022	2022-12-19		3.04	North America	North Dakota	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22		202251	28.00	OQ241991	Homo sapiens	United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing	Fries et al		MINOT AFB	0.67	0.601	
USA/CO-CDC-LC0938314/2022	2022-11-13		3.04	North America	Colorado	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22		202246	28.00	OP906666	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/DE-CDC-STM-CJQ2FYFPG/2022	2022-11-16		3.04	North America	Delaware	Older	USA	22B (Omicron)	BA.5.1.22	22B (Omicron)	BA.5.1.22		202246	28.00	OP912339	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	
USA/OSPHL07450/2022	2022-10-03		2.85	North America	Oregon	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202240	29.00	OP683396	Homo sapiens	Oregon State Public Health Laboratory, Virology and Immunology	Razzaque et al			0.458	0.586	
USA/NC-CDC-LC0907443/2022	2022-10-03		2.90	North America	North Carolina	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202240	27.00	OP671220	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/UT-CDC-2-6572466/2022	2022-10-22		2.92	North America	Utah	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202242	27.00	OP823694	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		UT-Unified State Labs: Public Health Utah DOH	0.558	0.386	
USA/RI-CDC-LC0891968/2022	2022-09-16		2.87	North America	Rhode Island	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202237	27.00	OP582291	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/CA-CDC-STM-EFDSEPKGP/2022	2022-10-26		2.85	North America	California	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202243	27.00	OP815485	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
USA/USA_UT-IDEL-2022122711_2022_NC_045512.2/2022	2022-12-02		2.87	North America	Utah	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1		202248	26.00	OQ164668	Homo sapiens	Intermountain Healthcare, Infectious Diseases Epidemiology Laboratory	Coombs et al			0.558	0.386	
USA/AZ-CDC-LC0940022/2022	2022-11-16		3.14	North America	Arizona	Older	USA	22B (Omicron)	BA.5	22B (Omicron)	BA.5		202246	29.00	OP926186	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.5	0.503	
USA/JW8726/2022	2022-12-21		3.14	North America	North Carolina	Older	USA	22B (Omicron)	BA.5	22B (Omicron)	BA.5		202251	29.00	OQ200209	Homo sapiens	University of North Carolina at Chapel Hill, Genetics	Wang et al			0.5	0.503	
USA/ID-CDC-2-6821895/2022	2022-11-26		2.95	North America	Idaho	One month ago	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202247	28.00	OQ421320	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		ID Bureau of Laboratories	0.558	0.386	
USA/AZ-CDC-QDX42751081/2022	2022-10-17		2.93	North America	Arizona	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202242	28.00	OP780664	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al			0.458	0.586	
USA/LA-EVTL17513/2022	2022-11-05		3.01	North America	Louisiana	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202244	28.00	OQ096957	Homo sapiens	LSUHS, Center for Emerging Viral Threats	Atkins et al			0.558	0.386	
USA/NY-CDC-LC0910680/2022	2022-10-07		2.93	North America	New York	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202240	27.00	OP707337	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/LA-CDC-QDX42604774/2022	2022-10-14		2.94	North America	Louisiana	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202241	27.00	OP742884	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.558	0.386	
USA/KY-CDC-LC0916255/2022	2022-10-14		2.95	North America	Kentucky	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202241	27.00	OP737078	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/CA-CDC-STM-GZBZFVHS5/2022	2022-09-20		2.93	North America	California	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202238	27.00	OP571106	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
USA/WI-CDC-STM-G6UEXPJHP/2022	2022-11-27		2.93	North America	Wisconsin	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202248	27.00	OP988740	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
USA/2204505/2022	2022-11-07		2.93	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202245	27.00	OP984880	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		Test Iowa	0.558	0.386	
USA/2202073/2022	2022-11-04		2.93	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.5	22B (Omicron)	BA.5.1.5		202244	27.00	OP820936	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.558	0.386	
USA/MT-CDC-LC0925238/2022	2022-10-28		2.85	North America	Montana	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202243	27.00	OP808928	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/LA-CDC-STM-CQMNXXNPD/2022	2022-11-23		2.93	North America	Louisiana	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202247	28.00	OP987774	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
USA/SD-SDAIHG-2101/2022	2022-11-29		3.00	North America	South Dakota	One month ago	USA	22B (Omicron)	BA.5.1.26	22B (Omicron)	BA.5.1.26		202248	28.00	OQ436717	Homo sapiens	South Dakota INBRE/Avera Institute for Human Genetics, SD-INBRE-AIHG	Davis et al			0.67	0.601	
USA/TN-CDC-QDX41844550/2022	2022-09-24		3.12	North America	Tennessee	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202238	29.00	OP624995	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/1016367172_2-10-2023/2022	2022-12-28		3.09	North America	Arkansas	One month ago	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202252	29.00	OQ474765	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.67	0.601	
USA/1016375532_2-10-2023/2022	2022-12-29		3.09	North America	Arkansas	One month ago	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202252	29.00	OQ474742	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences	0.67	0.601	
USA/2202065/2022	2022-11-04		3.03	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202244	28.00	OP820930	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/NH-CDC-LC0920632/2022	2022-10-23		3.03	North America	New Hampshire	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202243	28.00	OP790757	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/2172679/2022	2022-09-12		3.00	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.27		202237	28.00	OP542307	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/2175580/2022	2022-09-11		3.00	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.27		202237	28.00	OP542371	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/NH-CDCBI-CRSP_TSFPGZEUHOZCZNIK/2022	2022-11-27		2.87	North America	New Hampshire	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.27		202248	27.00	OP987475	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Broad Institute Clinical Research Sequencing Platform	0.558	0.386	
USA/DE-CDC-LC0890768/2022	2022-09-18		3.01	North America	Delaware	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.27		202238	28.00	OP582683	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/S23A40_538633/2023	2023-01-10		2.93	North America	Mississippi	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27	0.00	202302	28.00	OQ302885	Homo sapiens	University of Mississippi Medical Center, Molecular and Genomics Core	Sen et al			0.67	0.601	-13.56
USA/MT-CDC-VSX-A061560/2023	2023-02-03		3.01	North America	Montana	One month ago	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27	0.00	202305	28.00	OQ433731	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.67	0.601	-13.56
USA/IA-CDC-LC0965804/2022	2022-12-10		3.00	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202249	28.00	OQ157638	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/MO-CDC-QDX45530128/2023	2023-01-11		3.00	North America	Missouri	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27	0.00	202302	28.00	OQ347228	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	-13.56
USA/NE-CDC-LC0959232/2022	2022-12-06		3.00	North America	Nebraska	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202249	28.00	OQ109389	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/WV135629/2022	2022-11-10		2.94	North America	West Virginia	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202245	28.00	OQ396078	Homo sapiens	Marshall University School of Medicine, Biomedical Sciences	Denvir et al			0.67	0.601	
USA/KS-CDC-LC0945543/2022	2022-11-27		3.00	North America	Kansas	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202248	29.00	OP992947	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/NE-CDC-QDX44376238/2022	2022-12-03		3.00	North America	Nebraska	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202248	28.00	OQ116038	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/2216779/2022	2022-12-09		2.86	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202249	28.00	OQ179807	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/MO-CDC-QDX41999685/2022	2022-09-30		3.01	North America	Missouri	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.27		202239	28.00	OP653037	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/2215752/2022	2022-12-08		3.00	North America	Iowa	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202249	28.00	OQ071583	Homo sapiens	State Hygienic Laboratory at the University of Iowa, Molecular	Reeb et al		State Hygienic Laboratory at the University of Iowa	0.67	0.601	
USA/MO-CDC-QDX44815355/2022	2022-12-18		3.06	North America	Missouri	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202251	28.00	OQ196710	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Quest Diagnostics Incorporated	0.67	0.601	
USA/NE-CDC-LC0956800/2022	2022-12-04		3.00	North America	Nebraska	Older	USA	22B (Omicron)	BA.5.1.27	22B (Omicron)	BA.5.1.27		202249	28.00	OQ080725	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.67	0.601	
USA/NJ-CDC-LC0895819/2022	2022-09-23		2.91	North America	New Jersey	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.23		202238	28.00	OP658034	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/ID-CDC-LC0900583/2022	2022-09-29		2.91	North America	Idaho	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1.23		202239	27.00	OP660348	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/WA-UW-22091939830/2022	2022-09-19		2.85	North America	Washington	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202238	28.00	OP678630	Homo sapiens	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al			0.558	0.386	
USA/PR-CDC-2-6612021/2022	2022-09-28		2.85	North America	Puerto Rico	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202239	28.00	OP923733	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al		PR Public Health Lab	0.558	0.386	
USA/AK-CDC-LC0892942/2022	2022-09-19		2.85	North America	Alaska	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202238	27.00	OP582855	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		Laboratory Corporation of America	0.558	0.386	
USA/CA-CDC-STM-B7A4ETSR4/2022	2022-10-05		2.85	North America	California	Older	USA	22B (Omicron)	BA.5.1	22B (Omicron)	BA.5.1		202240	27.00	OP732968	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al		'Helix'	0.558	0.386	
